task,target,feature_set,model,initial_train_size,final_train_size,initial_train_r2,final_train_r2,initial_cv_r2,final_cv_r2,cv_r2_gain,recent_cv_r2_gain,final_train_cv_gap,max_abs_train_cv_gap,initial_train_sd,final_train_sd,train_sd_change,initial_cv_sd,final_cv_sd,cv_sd_change,validation_trend,final_gap_level,more_data_likely_helpful,source_file,initial_train_macro_f1,final_train_macro_f1,initial_cv_macro_f1,final_cv_macro_f1,cv_macro_f1_gain,recent_cv_macro_f1_gain
regression,AC,fs1,XGB,34,206,0.971871947236682,0.9197884112873268,-0.0620181501735528,0.5002588938253897,0.5622770439989425,0.0196558275707051,0.4195295174619371,1.0338900974102347,0.0135410965729261,0.0085955994958092,-0.0049454970771169,0.4244647053772136,0.2084147391506068,-0.2160499662266068,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,GBR,34,206,0.7519692919928276,0.7812256506325262,-0.0251643978314418,0.456643396415595,0.4818077942470368,0.0574726107246441,0.3245822542169312,0.7771336898242693,0.1298384784707646,0.0363002060607151,-0.0935382724100495,0.5795691730360372,0.2674604935689365,-0.3121086794671007,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,DT,34,206,0.6579315360583067,0.8042208320588106,-0.5425364605245757,0.4412194547271918,0.9837559152517676,0.1512802244569867,0.3630013773316187,1.2004679965828824,0.1777900503361602,0.0572865868169936,-0.1205034635191665,1.281725982416436,0.1875060100891776,-1.0942199723272583,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,RF,34,206,0.7173018727189174,0.9020509196205484,0.1890517457213625,0.433329778603,0.2442780328816375,-0.0054997309993503,0.4687211410175484,0.5282501269975549,0.150916179844239,0.0125842968808196,-0.1383318829634194,0.3948917768868373,0.3712501093177667,-0.0236416675690706,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,ET,34,206,0.5273005989670219,0.7153050542347887,0.1402171233344512,0.2835602595369806,0.1433431362025294,-0.0234335497629339,0.4317447946978081,0.4434612336647269,0.2204543853085351,0.0553307703250016,-0.1651236149835334,0.3089852886548511,0.3563411065664745,0.0473558179116234,improving,large,False,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,SVR,34,206,0.3355320943268095,0.5028237208788292,0.1619589578273806,0.2795613400211941,0.1176023821938135,-0.0166537459841432,0.2232623808576351,0.2232623808576351,0.2521024526972708,0.119292481074727,-0.1328099716225437,0.1909326046475015,0.3168144826468441,0.1258818779993425,improving,large,False,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,ANN,34,206,0.4387743689965026,0.6473712886197942,-1.5136441634768136,0.259044345893771,1.7726885093705846,0.0047174248598397,0.3883269427260232,1.9524185324733163,0.4027917194911987,0.1480205392279769,-0.2547711802632217,1.9199331976846947,0.3849035364603317,-1.535029661224363,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,KNN,30,171,1.0,1.0,-0.6487091084185448,0.1157780941594405,0.7644872025779853,0.0258643093057686,0.8842219058405595,1.6487091084185448,1.5700924586837752e-16,0.0,-1.5700924586837752e-16,0.3805932388787045,0.2459104656739143,-0.1346827732047902,improving,large,True,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,EN,34,206,0.4060681966679246,0.3828825787321205,0.0940651792029682,0.1043484827878676,0.0102833035848994,-0.058827247707109,0.2785340959442529,0.4507783492284968,0.3287004178824163,0.1471563883820767,-0.1815440295003395,0.3421044362079724,0.3956656169377048,0.0535611807297324,near plateau,large,False,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,LASSO,34,206,0.3049129310847394,0.3258832858277148,0.0678282837070542,0.0873577630409619,0.0195294793339077,-0.085704376745975,0.2385255227867529,0.3083972136472921,0.3297243502208372,0.1558451158435246,-0.1738792343773126,0.3016416551039334,0.2277660918437258,-0.0738755632602076,near plateau,large,False,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
