task,target,feature_set,model,initial_train_size,final_train_size,initial_train_r2,final_train_r2,initial_cv_r2,final_cv_r2,cv_r2_gain,recent_cv_r2_gain,final_train_cv_gap,max_abs_train_cv_gap,initial_train_sd,final_train_sd,train_sd_change,initial_cv_sd,final_cv_sd,cv_sd_change,validation_trend,final_gap_level,more_data_likely_helpful,source_file,initial_train_macro_f1,final_train_macro_f1,initial_cv_macro_f1,final_cv_macro_f1,cv_macro_f1_gain,recent_cv_macro_f1_gain
regression,AC,fs1,SVR,41,206,0.30547709799939,0.4019211198598807,0.1173932593619145,0.2601581937583264,0.1427649343964118,-0.0061223076333858,0.1417629261015543,0.1880838386374755,0.2041751410637679,0.142744890626924,-0.0614302504368439,0.1225902070673509,0.2592532079813409,0.1366630009139899,improving,large,True,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,GBR,41,206,0.5088538658140627,0.4435016377247896,-0.2973481748233099,0.2282197976726208,0.5255679724959307,-0.0599898236253835,0.2152818400521688,0.8062020406373726,0.1500707683792716,0.1500148783289474,-5.58900503242199e-05,0.9734310733459768,0.3181445600219228,-0.655286513324054,improving,large,False,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,XGB,41,206,0.284086278389476,0.4661669347522603,-0.3781782911967706,0.1693025106388234,0.547480801835594,-0.0357010161455627,0.2968644241134369,0.6622645695862466,0.1779235181637815,0.1377304110478608,-0.0401931071159206,0.8421425347839058,0.2467333974648602,-0.5954091373190455,improving,large,False,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,DT,41,206,0.3442701131401987,0.4089171275646072,-0.5482814306828594,0.1469628983098785,0.6952443289927379,0.0500159299269439,0.2619542292547286,0.892551543823058,0.1508223712878789,0.142488797441751,-0.0083335738461279,1.2563443981369964,0.4484988935352933,-0.807845504601703,improving,large,True,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,ET,41,206,0.4324104507334602,0.4113667638365652,-0.377994032339736,0.1416273602266291,0.5196213925663651,0.0092718759908664,0.2697394036099361,0.8104044830731962,0.1596202323471204,0.1351661012072854,-0.0244541311398349,0.775773458775398,0.1828484625629956,-0.5929249962124025,improving,large,True,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,EN,41,206,0.4560805319486188,0.3669525032378787,-0.099069029255279,0.1337515089900139,0.2328205382452929,-0.0735237066797381,0.2332009942478648,0.5551495612038978,0.324575759949276,0.1518282418472403,-0.1727475181020357,0.5755155445323008,0.3084365472089246,-0.2670789973233762,improving,large,False,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,ANN,41,206,0.1371100369675271,0.3754833579112311,-0.5534931114439459,0.1286165640572006,0.6821096755011464,0.0050140108831043,0.2468667938540305,0.690603148411473,0.7557438813396006,0.1407307391994501,-0.6150131421401505,0.6978782260239201,0.2986685780566677,-0.3992096479672524,improving,large,True,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,RIDGE,41,206,0.2554759798814011,0.3338277496816614,-0.1523395967108845,0.1167459344689588,0.2690855311798433,0.0089492012879539,0.2170818152127026,0.4078155765922856,0.1834855968312584,0.1338027875114072,-0.0496828093198511,0.4065725435244384,0.2102834918805644,-0.196289051643874,improving,large,True,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,LASSO,41,206,0.4714378908274702,0.3845453889226196,-0.1463139587570553,0.1079414801082977,0.254255438865353,-0.1148521107285115,0.2766039088143219,0.6177518495845254,0.3338340538283219,0.1509964222906654,-0.1828376315376564,0.665068358044016,0.4167394990000934,-0.2483288590439226,improving,large,False,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
regression,AC,fs1,MLR,41,206,0.4743533042738754,0.3868139302213912,-0.1627966863322558,0.0974581736234375,0.2602548599556933,-0.1173390083469582,0.2893557565979537,0.6371499906061312,0.334701905234915,0.1508845980409311,-0.1838173071939839,0.6830986524543846,0.4616083941910439,-0.2214902582633407,improving,large,False,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\learning_curves\AC\fs1\learning_curve_model_summary.csv,,,,,,
